,name,rating,company_type,location,old,emp,reviews
279,Exide Life Insuran...,3.6,Private,"Bangalore/Bengaluru,Karnataka + 176 more",21 years old,1k-5k employees (India),(1.1k Reviews)
280,Micro Labs,3.7,Private,"Bangalore/Bengaluru,Karnataka + 86 more",49 years old,5k-10k employees (India),(1.1k Reviews)
281,Emcure Pharmaceuti...,4.0,Private,Pune,41 years old,5k-10k employees (India),(1.2k Reviews)
282,Indian Navy,4.6,Private,"Delhi/NCR,Delhi + 52 more",72 years old,50k-1 Lakh employees (India),(1.1k Reviews)
283,The Himalaya Drug ...,4.2,Private,"Bangalore/Bengaluru,Karnataka + 124 more",92 years old,5k-10k employees (India),(1.1k Reviews)
284,Ekart Logistics,4.2,Private,"Bangalore/Bengaluru,Karnataka + 286 more",13 years old,5k-10k employees (India),(1.1k Reviews)
285,Exide Industries,3.7,Public,"Kolkata,West Bengal",75 years old,1k-5k employees (India),(2.2k Reviews)
286,Utkarsh Small Fina...,3.9,Public,"Varanasi/Benaras,Uttar Pradesh + 164 more",13 years old,1k-5k employees (India),(1.1k Reviews)
287,Cholamandalam MS G...,4.0,JV,"Chennai,Tamil Nadu + 237 more",21 years old,10k-50k employees (India),(1.1k Reviews)
288,R.R. Donnelley,4.1,Private,"Chicago,Illinois + 7 more",158 years old,1-10 employees (India),(1.1k Reviews)
289,TVS Sundram Fasten...,3.9,Public,"Chennai,Tamil Nadu + 32 more",56 years old,5k-10k employees (India),(1.1k Reviews)
290,Blue Star,4.0,Public,"Mumbai,Maharashtra",79 years old,1k-5k employees (India),(1.1k Reviews)
291,Ajanta Pharma,4.0,Public,"Mumbai,Maharashtra + 78 more",49 years old,1k-5k employees (India),(1.1k Reviews)
292,Yamaha Motor,3.9,Private,"Iwata,Shizuoka",15 years old,1k-5k employees (India),(1.2k Reviews)
293,Sonalika Tractors,3.9,Private,"Hoshiarpur,Punjab + 104 more",53 years old,1k-5k employees (India),(1.1k Reviews)
294,Cogent E Services,3.2,Private,"Noida,Uttar Pradesh + 20 more",18 years old,10k-50k employees (India),(1.1k Reviews)
295,Indiabulls,3.7,Public,"Gurgaon/Gurugram,Haryana",22 years old,10k-50k employees (India),(3.3k Reviews)
296,Mahindra Holidays ...,3.7,Private,"Chennai,Tamil Nadu + 81 more",26 years old,1k-5k employees (India),(1.1k Reviews)
297,ACT Fibernet,4.0,Private,"Bangalore/Bengaluru,Karnataka",22 years old,5k-10k employees (India),(1.1k Reviews)
298,Hyatt Regency,4.3,Private,"New Delhi,Delhi + 36 more",42 years old,1k-5k employees (India),(1.1k Reviews)
299,Fiserv,3.8,Private,"Mumbai,Maharashtra",51 years old,501-1k employees (India),(1.1k Reviews)
300,Shahi Exports,4.1,Private,"Faridabad,Haryana",48 years old,50k-1 Lakh employees (India),(1k Reviews)
301,Wockhardt,4.1,Public,"Mumbai,Maharashtra",23 years old,5k-10k employees (India),(1.4k Reviews)
302,Karvy Data Managem...,3.5,Private,"Hyderabad/Secunderabad,Telangana + 81 more",14 years old,1k-5k employees (India),(1k Reviews)
303,IndiGo,3.7,Private,"Gurgaon/Gurugram,Haryana + 57 more",17 years old,10k-50k employees (India),(1k Reviews)
304,Sapient Corporatio...,3.8,Private,"New York,New York",32 years old,5k-10k employees (India),(1.1k Reviews)
305,Force Motors,3.5,Public,"Pune,Maharashtra + 64 more",64 years old,1k-5k employees (India),(1k Reviews)
306,Thomson Reuters,4.3,Private,Toronto,28 years old,10k-50k employees (India),(1k Reviews)
307,HDFC Sales,4.0,Private,"Mumbai,Maharashtra + 191 more",18 years old,5k-10k employees (India),(1k Reviews)
308,Brakes India,4.2,"Chennai,Tamil Nadu + 50 more",60 years old,1k-5k employees (India),,(1k Reviews)
309,Adani Power,4.1,Public,"Ahmedabad,Gujrat",16 years old,1k-5k employees (India),(1k Reviews)
310,Aircel,4.4,Private,"Gurgaon/Gurugram,Haryana + 109 more",23 years old,5k-10k employees (India),(1k Reviews)
311,InterGlobe Technol...,3.5,Public,"Gurgaon/Gurugram,Haryana + 27 more",24 years old,1k-5k employees (India),(1k Reviews)
